,name,time,param,mse error
0,KNeighborsRegressor,957.2736222743988,"{'clf__algorithm': 'ball_tree', 'clf__leaf_size': 12, 'clf__n_neighbors': 20, 'clf__weights': 'uniform'}",198361906.75480375
1,RandomForestRegressor,139.46862936019897,"{'clf__max_depth': 20, 'clf__min_samples_split': 5}",207304527.13626686
2,MLP,119.18104553222656,,226121646.93063423
3,Linear Regression,0.05321860313415527,1,226915527.1210804
4,DecisionTreeRegressor,0.9737715721130371,"{'clf__criterion': 'friedman_mse', 'clf__max_depth': None, 'clf__min_samples_split': 5}",232297417.15265945
5,LogisticRegressor,2337.7443766593933,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",307414506.9736658
